Tweet,Sentiment
﻿@Tesco #Trafford 2/2 - how many millions do you make from #Trafford residents each year? Surely you could support t… https://t.co/nno1cUSQLI,neutral
"@Tesco #Trafford 1/2  bitterly disappointed, that when presented with my genuine ID as elected member of… https://t.co/y6Oc3Urkm7",neutral
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
RT @MusicInTrafford: MUSIC DONATIONS NEEDED Having a #MariKondo clearout?,neutral
"We're looking for donations of used, good quality sheet music…",positive
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
It’s been an exciting few weeks for @tweet_tdas welcoming our new (and amazing) office administrator Jade to the te… https://t.co/7bBJ5ptvjm,positive
RT @Odbe34: So #BBCNews send their main reporter to Bath and not to #Trafford?! #GreaterManchester = 100% Labour,neutral
So #BBCNews send their main reporter to Bath and not to #Trafford?! #GreaterManchester = 100% Labour,neutral
RT @NinaWarhurst: And I tell you what - the gains in #Trafford were where parties focused hard work &amp; hard miles of campaigning ; knocking…,neutral
"RT @OxfamHaleBarns: Join us this #BankHolidayWeekend ⛱ at Oxfam Hale Barns for bargains galore for all the family, helping to raise funds f…",neutral
RT @NinaWarhurst: And I tell you what - the gains in #Trafford were where parties focused hard work &amp; hard miles of campaigning ; knocking…,neutral
RT @YvonneB75861709: Fantastic news for #Trafford residents. Please spread the word. @HealthwatchTraf @TraffordCCG @StretfordM32 @FOVPStret…,positive
"Join us this #BankHolidayWeekend ⛱ at Oxfam Hale Barns for bargains galore for all the family, helping to raise fun… https://t.co/0rEwykXSt4",neutral
RT @BridgetteMDoyle: Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness #NatWest…,positive
RT @LabourSaleMoor: This morning we have scattered the ashes of my beloved sister ⁦@SocialistGreen⁩. Close family &amp; friends present. Isobel…,positive
@TomWRoss Thank you so much for your support - always there for #Trafford,positive
RT @UrmstonHomecare: Here are our top tips for food and fluid nutrition for older adults. Help your loved one live a healthy lifestyle. 🍇🍈🍉…,positive
Here are our top tips for food and fluid nutrition for older adults. Help your loved one live a healthy lifestyle.… https://t.co/HW43dgcgVz,positive
RT @BongosRockNRoll: Tomorrow @_themarketco #urmston #artisanmarket #manchester come see us and #buybongos #Bongochilli #chillis #homemade…,positive
It's the BANK HOLIDAY weekend! Time to relax and make some plans. Don't waste a minute! There's so much going on in… https://t.co/VMITGwKUez,positive
RT @JerryHicksUnite: #LocalElections2019 #LE2019,neutral
"Corbyn ""the swings to Labour in many parts of the country show that we can win seats in a…",neutral
RT @YvonneB75861709: Fantastic news for #Trafford residents. Please spread the word. @HealthwatchTraf @TraffordCCG @StretfordM32 @FOVPStret…,positive
"RT @GMWalkingFest: Joining an organised walk is the perfect way to make new friends and have an enjoyable chin wag, with a cup of tea at th…",positive
RT @YvonneB75861709: Great to talk about our Walking for Health Scheme in Trafford linking with #Gp surgeries .   @TraffordCCG @SaleSports…,positive
Tomorrow @_themarketco #urmston #artisanmarket #manchester come see us and #buybongos #Bongochilli #chillis… https://t.co/Qy5oPL5p4S,neutral
RT @TraffordCCG: #Trafford are 100% in support of a new #GM suicide prevention campaign that launched on Wednesday #ShiningALightOnSuicide…,neutral
RT @TraffordCCG: #Trafford are 100% in support of a new #GM suicide prevention campaign that launched on Wednesday #ShiningALightOnSuicide…,neutral
#Trafford are 100% in support of a new #GM suicide prevention campaign that launched on Wednesday… https://t.co/Kwi4NsJJue,neutral
RT @LabourSaleMoor: This morning we have scattered the ashes of my beloved sister ⁦@SocialistGreen⁩. Close family &amp; friends present. Isobel…,positive
Great to talk about our Walking for Health Scheme in Trafford linking with #Gp surgeries .   @TraffordCCG… https://t.co/ZPPhjW3Wmq,neutral
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
RT @LabourSaleMoor: This morning we have scattered the ashes of my beloved sister ⁦@SocialistGreen⁩. Close family &amp; friends present. Isobel…,positive
RT @YvonneB75861709: Fantastic news for #Trafford residents. Please spread the word. @HealthwatchTraf @TraffordCCG @StretfordM32 @FOVPStret…,positive
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr f… https://t.co/VKRebfY5CL,negative
Fantastic news for #Trafford residents. Please spread the word. @HealthwatchTraf @TraffordCCG @StretfordM32… https://t.co/4vb1nf3lvV,neutral
@great_together #moreincommon I’m helping put together the stage for our GREAT GET TOGETHER in #Altrincham… https://t.co/OVjpeR29hZ,positive
RT @BridgetteMDoyle: Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness #NatWest…,positive
@seananstee @kjbelfon @OliverRyan95 Like when you gave yourself a pay rise while cutting social funding? #trafford,neutral
"RT @GMWalkingFest: Joining an organised walk is the perfect way to make new friends and have an enjoyable chin wag, with a cup of tea at th…",positive
RT @BridgetteMDoyle: Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness #NatWest…,positive
RT @BridgetteMDoyle: Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness #NatWest…,positive
SAD NEWS: We are closed on Monday 6th May,neutral
GOOD NEWS: Its #Maydaybankholiday,neutral
Back open Tuesday 7th MAY,neutral
Enjoy the b… https://t.co/QHQ5qICZoH,neutral
"We have a disastarous Tory government and yet today, #Corbyn is in #Trafford and @HackneyAbbott on TV, both talking… https://t.co/GQEklNYvl6",neutral
RT @sophiertw: Fabulous to welcome @jeremycorbyn @UKLabour to #Trafford to celebrate our historic @UKLabour in Trafford #TraffordLabour #Tr…,positive
Fabulous to welcome @jeremycorbyn @UKLabour to #Trafford to celebrate our historic @UKLabour in Trafford… https://t.co/IcdXP1TqCc,neutral
RT @JerryHicksUnite: #LocalElections2019 #LE2019,neutral
"Corbyn ""the swings to Labour in many parts of the country show that we can win seats in a…",neutral
RT @JerryHicksUnite: #LocalElections2019 #LE2019,neutral
"Corbyn ""the swings to Labour in many parts of the country show that we can win seats in a…",neutral
Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness… https://t.co/eP3igbThbD,positive
"Overwhelmingly pleased Hale and Hale Central remained Tory. However, it is with great sorrow that many hardworking… https://t.co/W6bPf9tlzN",neutral
This morning we have scattered the ashes of my beloved sister ⁦@SocialistGreen⁩. Close family &amp; friends present. Is… https://t.co/4SraHs74c8,neutral
#LocalElections2019 #LE2019,neutral
"Corbyn ""the swings to Labour in many parts of the country show that we can win seats in… https://t.co/KuOTwDYfqO",neutral
