Tweet,Sentiment
RT @CyrilFlint: Could you host a coffee morning or tea party in aid of Cyril Flint Befrienders? All funds raised will help us to create mor…,neutral
"RT @StretfordUke: More changes this week folks. We welcome back some more old favourites, Teenage Kicks and One Day Like This, plus see Oct…",positive
"More changes this week folks. We welcome back some more old favourites, Teenage Kicks and One Day Like This, plus s… https://t.co/GiorPZlI7c",positive
"RT @StretfordUke: Great turnout for acoustic chair last night at @thesipclub, some new players and singers too! 🎶🎙️🎼🎸🎤🎶",positive
#stretford #urmsto…,neutral
"Great turnout for acoustic chair last night at @thesipclub, some new players and singers too! 🎶🎙️🎼🎸🎤🎶",positive
#stretford… https://t.co/l4zXHf7zfv,neutral
"RT @promotetrafford: It’s Sunday, and we’re finishing the decorating today so we can bring you #traffordhour tonight..",neutral
See you here later…,neutral
"RT @StretfordUke: It's time again for another acoustic chair! Tonight at @thesipclub, from 8pm.",positive
#stretford #m32 #urmston #chorlton #traffo…,neutral
Can't wait for the people of #Trafford to enjoy the same quality of education as their neighbours in @UKLabour cont… https://t.co/1ovii148De,positive
#List your #home #ForSale or #ToLet in under 10 minutes! #Trafford #Stretford #Urmston https://t.co/gIQfIkPjvK https://t.co/qjlkKJZ1Ix,neutral
"RT @OxfamHaleBarns: #SundayThoughts Open today until 3pm, come and browse our homewares and other items, helping @oxfamgb to raise funds fo…",neutral
RT @CyrilFlint: Could you host a coffee morning or tea party in aid of Cyril Flint Befrienders? All funds raised will help us to create mor…,neutral
Could you host a coffee morning or tea party in aid of Cyril Flint Befrienders? All funds raised will help us to cr… https://t.co/QlqfzYMbgc,neutral
"RT @OxfamHaleBarns: #SundayThoughts Open today until 3pm, come and browse our homewares and other items, helping @oxfamgb to raise funds fo…",neutral
#libbyge #libbygcakes #cakeshopaltrincham #dripcakes #chocolatecake #cakeshop #altrinchammarket #altrincham… https://t.co/6Mxk6ceUf3,neutral
"#SundayThoughts Open today until 3pm, come and browse our homewares and other items, helping @oxfamgb to raise fund… https://t.co/vOR9FwVCQu",neutral
RT @OxfamHaleBarns: These gorgeous @ZARA jackets are perfect to kick-off the #BankHolidayWeekend ⛱ Why not pop into Oxfam Hale Barns over t…,positive
"RT @promotetrafford: It’s Sunday, and we’re finishing the decorating today so we can bring you #traffordhour tonight..",neutral
See you here later…,neutral
We’re open from midday serving our scrumptious Sunday roasts as well as our usual menu 😊 #Trafford #SaleTown… https://t.co/Jz4VLvsbtk,neutral
"RT @promotetrafford: It’s Sunday, and we’re finishing the decorating today so we can bring you #traffordhour tonight..",neutral
See you here later…,neutral
"RT @promotetrafford: It’s Sunday, and we’re finishing the decorating today so we can bring you #traffordhour tonight..",neutral
See you here later…,neutral
"RT @promotetrafford: It’s Sunday, and we’re finishing the decorating today so we can bring you #traffordhour tonight..",neutral
See you here later…,neutral
